Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
NABIL,Commercial Banks,"270,569,970.00",525.80,0.54 %,2026/03/17 02:59:51,562.00-471.00,504.21,501.63,7.31%,"35.18                                                                    (FY:082-083, Q:2)",14.95,235.64,2.23,12.50                                                                    (FY:081-082),4.28,0.3978,0.1432,0.2705
NIMB,Commercial Banks,"341,285,950.00",213.10,1.33 %,2026/03/17 02:59:58,247.00-184.20,196.04,194.24,-1.39%,"9.45                                                                    (FY:082-083, Q:2)",22.55,194.77,1.09,,8.70,0.5398,0.2190,0.3794
SCB,Commercial Banks,"100,423,680.00",663.00,0.76 %,2026/03/17 02:59:57,712.60-594.90,636.24,639.18,1.53%,"27.35                                                                    (FY:082-083, Q:2)",24.24,210.97,3.14,19.00                                                                    (FY:081-082),4.21,0.4214,0.0967,0.2591
HBL,Commercial Banks,"225,816,625.32",217.00,2.41 %,2026/03/17 02:59:55,261.00-184.00,193.78,192.44,-8.44%,"11.45                                                                    (FY:082-083, Q:2)",18.95,174.23,1.25,,11.98,0.5714,0.2022,0.3868
SBI,Commercial Banks,"113,351,243.90",413.40,-0.02 %,2026/03/17 02:59:47,452.00-363.00,400.44,404.32,-0.86%,"18.20                                                                    (FY:082-083, Q:2)",22.71,189.52,2.18,5.00                                                                    (FY:081-082),3.24,0.4337,0.1270,0.2803
EBL,Commercial Banks,"137,213,760.00",706.00,-0.25 %,2026/03/17 02:59:57,780.60-594.00,660.89,663.09,14.95%,"30.86                                                                    (FY:082-083, Q:2)",22.88,235.04,3.00,14.00                                                                    (FY:081-082),6.83,0.3998,0.1016,0.2507
NICA,Commercial Banks,"149,175,669.22",345.00,0.7 %,2026/03/17 02:59:51,428.40-304.50,327.25,329.76,-8.24%,"1.76                                                                    (FY:082-083, Q:2)",196.02,198.33,1.74,,5.42,0.6731,0.1190,0.3961
MBL,Commercial Banks,"120,862,115.64",252.50,1 %,2026/03/17 02:59:36,272.10-205.00,222.92,225.96,10.31%,"16.73                                                                    (FY:082-083, Q:2)",15.09,161.63,1.56,4.00                                                                    (FY:081-082),13.27,0.2921,0.1812,0.2367
LSL,Commercial Banks,"267,811,630.00",222.00,0.59 %,2026/03/17 02:59:56,252.00-201.00,219.83,218.74,-0.89%,"-2.04                                                                    (FY:082-083, Q:2)",-108.82,166.23,1.34,0.53                                                                    (FY:081-082),0.99,0.5882,0.1419,0.3650
KBL,Commercial Banks,"262,258,613.40",220.90,2.32 %,2026/03/17 02:59:58,233.50-175.50,186.21,186.46,6.30%,"20.74                                                                    (FY:082-083, Q:2)",10.65,151.16,1.46,,18.63,0.2172,0.2121,0.2147
SBL,Commercial Banks,"147,944,792.00",400.00,0.58 %,2026/03/17 02:59:56,416.00-261.00,364.87,371.50,38.41%,"17.93                                                                    (FY:082-083, Q:2)",22.31,211.23,1.89,5.53                                                                    (FY:081-082),9.63,0.1032,0.1417,0.1225
SHL,Hotels And Tourism,"11,751,420.90",507.80,-0.22 %,2026/03/17 02:58:56,619.00-464.00,505.00,497.44,3.63%,"5.92                                                                    (FY:082-083, Q:2)",85.78,26.31,19.30,16.58                                                                    (FY:081-082),0.55,0.7174,0.0197,0.3686
TRH,Hotels And Tourism,"19,621,201.60",763.00,-0.91 %,2026/03/17 02:56:11,"1,119.00-681.10",744.47,731.62,-31.19%,"-9.26                                                                    (FY:082-083, Q:2)",-82.40,150.05,5.08,5.00                                                                    (FY:081-082),2.49,0,0.0297,0.0149
OHL,Hotels And Tourism,"11,844,949.60",730.10,-2 %,2026/03/17 02:58:28,"1,049.50-633.10",708.65,711.52,-18.88%,"-4.63                                                                    (FY:082-083, Q:2)",-157.69,328.33,2.22,0.26                                                                    (FY:080-081),3.03,0,0.0850,0.0425
NHPC,Hydro Power,"24,671,629.15",299.20,0.74 %,2026/03/17 02:59:59,313.90-178.60,203.28,207.53,39.16%,"2.11                                                                    (FY:082-083, Q:2)",141.80,97.41,3.07,,47.19,0.1086,0.0708,0.0897
BPCL,Hydro Power,"34,090,650.00",726.00,-0.14 %,2026/03/17 02:59:59,"1,065.00-380.70",733.75,736.84,81.86%,"13.22                                                                    (FY:082-083, Q:2)",54.92,208.40,3.48,6.00                                                                    (FY:081-082),-1.06,0,0.0720,0.0360
CHCL,Hydro Power,"94,849,886.80",497.10,0.04 %,2026/03/17 02:59:52,599.60-456.00,485.25,483.50,-1.35%,"8.39                                                                    (FY:082-083, Q:2)",59.25,120.86,4.11,4.00                                                                    (FY:081-082),2.44,0.7138,0.0622,0.3880
STC,Tradings,"3,527,886.50","6,150.00",0.79 %,2026/03/17 02:59:48,"6,335.90-4,832.00","5,466.25","5,569.99",13.89%,"25.93                                                                    (FY:082-083, Q:2)",237.18,483.06,12.73,,0,0,0,0.0000
BBC,Tradings,"40,100,000.00","4,843.00",-0.32 %,2026/03/17 02:45:42,"6,661.60-4,480.00","4,856.46","4,844.52",-10.17%,"0.00                                                                    (FY:081-082, Q:2)",0.00,100.00,48.43,,0,0,0,0.0000
NUBL,Microfinance,"27,426,837.38",713.00,-0.28 %,2026/03/17 02:59:31,854.40-650.00,729.69,724.63,4.09%,"8.73                                                                    (FY:082-083, Q:2)",81.67,213.17,3.34,7.00                                                                    (FY:081-082),-2.29,0.6918,0.0697,0.3807
CBBL,Microfinance,"36,172,641.01",931.00,-1.06 %,2026/03/17 02:59:43,"1,144.80-821.50",973.91,967.06,7.74%,"31.85                                                                    (FY:082-083, Q:2)",29.23,233.66,3.98,12.50                                                                    (FY:081-082),-4.41,0,0.0776,0.0388
